epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,248.364,0.8386,5.4967,1.11491,0.02145,0.19444,0.02496,0.00858,0.63875,9.21291,1.01496,8e-05,8e-05,8e-05
2,524.622,0.64183,3.5612,0.74479,0.02231,0.08333,0.03206,0.01303,0.52939,3.46997,0.75802,0.000176436,0.000176436,0.000176436
3,1240.53,0.66615,1.47786,0.766,0.17645,0.13889,0.13377,0.07873,0.5648,1.40606,0.79023,0.000268912,0.000268912,0.000268912
4,1685.67,0.52632,1.34141,0.56285,0.27356,0.19444,0.16784,0.1177,0.53234,1.38612,0.74377,0.000357428,0.000357428,0.000357428
5,2193.08,0.52148,1.2667,0.54881,0.29202,0.19444,0.15084,0.08399,0.53021,1.44406,0.75647,0.000441984,0.000441984,0.000441984
6,2590.34,0.56049,1.04154,0.54713,0.18514,0.22222,0.08586,0.03981,0.71997,1.34358,1.01936,0.00052258,0.00052258,0.00052258
7,2993.94,0.58347,0.89447,0.62521,0.14088,0.25,0.06173,0.01909,0.87718,1.28651,1.50518,0.000599216,0.000599216,0.000599216
8,3401.87,0.59035,0.88578,0.70736,0.31778,0.11111,0.07739,0.03365,1.02707,1.00981,1.80341,0.000671892,0.000671892,0.000671892
9,3879.06,0.56707,0.84009,0.6403,0.45724,0.22222,0.17664,0.13094,0.83737,0.97683,1.53231,0.000740608,0.000740608,0.000740608
10,4215.95,0.58734,0.85551,0.61651,0.1571,0.22222,0.11939,0.04289,1.01319,1.02662,1.89007,0.000805364,0.000805364,0.000805364
11,4599.77,0.57391,0.74948,0.72049,0.19214,0.22222,0.07536,0.03085,0.94604,0.86122,1.9508,0.00086616,0.00086616,0.00086616
12,5022.78,0.57745,0.73276,0.70127,0.1105,0.05556,0.05771,0.04025,0.80057,1.39843,1.19535,0.000922996,0.000922996,0.000922996
13,5475.53,0.58827,0.81292,0.67888,0.02919,0.47222,0.01897,0.00716,0.9101,1.61453,1.40398,0.000975872,0.000975872,0.000975872
14,5883.55,0.49208,0.89237,0.60696,0.33774,0.16667,0.16207,0.07015,0.8563,0.94653,1.32335,0.00102479,0.00102479,0.00102479
15,6284.21,0.50892,0.79738,0.59194,0.28685,0.25,0.19075,0.07266,0.73086,1.0889,1.13376,0.00106974,0.00106974,0.00106974
16,6741.23,0.50394,0.92457,0.62396,0.3372,0.22222,0.12967,0.0701,0.69517,1.24207,1.04635,0.00111074,0.00111074,0.00111074
17,7175.53,0.53591,0.91061,0.60919,0.13812,0.13889,0.06035,0.02262,0.84863,1.12177,1.5471,0.00114778,0.00114778,0.00114778
18,7581.94,0.46687,0.95583,0.47324,0.08083,0.24431,0.03642,0.00934,0.85482,1.09683,1.5938,0.00118085,0.00118085,0.00118085
19,7997.55,0.4485,0.90653,0.5148,0.23701,0.13889,0.10757,0.04161,0.76978,1.13443,1.33755,0.00120997,0.00120997,0.00120997
20,8509.03,0.53522,0.81138,0.67202,0.26754,0.25,0.13952,0.04226,0.72111,1.24257,1.19554,0.00123512,0.00123512,0.00123512
21,8918.7,0.57264,0.88147,0.66478,0.28411,0.22222,0.10898,0.03666,0.75196,1.10188,1.30488,0.001208,0.001208,0.001208
22,9361.69,0.52793,0.82664,0.56914,0.18237,0.27778,0.12406,0.04,0.7557,1.19887,1.18256,0.0011684,0.0011684,0.0011684
23,9867.9,0.49437,0.82417,0.53928,0.1474,0.16667,0.09465,0.03115,0.89686,1.11985,1.45297,0.0011288,0.0011288,0.0011288
24,10330.2,0.42154,0.93894,0.47429,0.34383,0.24753,0.19549,0.12155,0.76025,1.00059,1.16412,0.0010892,0.0010892,0.0010892
25,10890.4,0.42082,0.84713,0.47438,0.50019,0.38889,0.30193,0.17659,0.61289,1.04853,0.98585,0.0010496,0.0010496,0.0010496
26,11598.7,0.43251,0.82932,0.47983,0.36839,0.33333,0.22993,0.13674,0.54806,1.23118,0.82229,0.00101,0.00101,0.00101
27,12343.6,0.43779,0.79939,0.49781,0.50234,0.27778,0.26188,0.17349,0.58727,1.12824,0.92877,0.0009704,0.0009704,0.0009704
28,13138.3,0.43269,0.78876,0.50631,0.65704,0.25,0.24858,0.16589,0.64576,1.09915,0.96119,0.0009308,0.0009308,0.0009308
29,13867.2,0.41641,0.74209,0.4569,0.44649,0.25,0.19828,0.11057,0.63287,1.21308,0.96093,0.0008912,0.0008912,0.0008912
30,14612.5,0.4035,0.75306,0.44116,0.36759,0.27778,0.21292,0.11843,0.65811,1.22679,0.92275,0.0008516,0.0008516,0.0008516
31,15348.1,0.40217,0.73969,0.41761,0.73264,0.19444,0.22488,0.11988,0.60775,1.25332,0.89466,0.000812,0.000812,0.000812
32,16731.7,0.33773,0.77926,0.35728,0.35405,0.27417,0.23884,0.11218,0.64698,1.20395,1.08242,0.0007724,0.0007724,0.0007724
33,17804.4,0.42942,0.70737,0.45158,0.2703,0.27778,0.2375,0.12573,0.6502,1.20741,1.10365,0.0007328,0.0007328,0.0007328
34,18934.6,0.36912,0.70008,0.44808,0.52686,0.19444,0.24532,0.12171,0.67758,1.14166,1.13277,0.0006932,0.0006932,0.0006932
35,19989.3,0.39434,0.74793,0.47836,0.60973,0.19444,0.24205,0.12157,0.63252,1.2584,0.97883,0.0006536,0.0006536,0.0006536
36,20950.5,0.3508,0.7334,0.40524,0.2922,0.30556,0.21802,0.08225,0.64285,1.40185,0.93549,0.000614,0.000614,0.000614
