epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.302,1.49298,4.97149,0.02708,0.00492,0.86111,0.04244,0.01677,1.52293,8.75205,0.0337,8e-05,8e-05,8e-05
2,52.3119,1.44803,4.9808,0.02754,0.00492,0.86111,0.08519,0.03355,1.47095,8.58845,0.03245,0.000176436,0.000176436,0.000176436
3,75.8034,1.21959,4.78867,0.02109,0.00492,0.86111,0.13552,0.05747,1.45037,8.46557,0.03261,0.000268912,0.000268912,0.000268912
4,99.4551,1.3065,4.67653,0.02224,0.00492,0.86111,0.1289,0.07033,1.4062,8.35502,0.03263,0.000357428,0.000357428,0.000357428
5,128.767,1.24685,4.81193,0.02136,0.00492,0.86111,0.08031,0.04989,1.47433,8.33428,0.03537,0.000441984,0.000441984,0.000441984
6,152.256,1.32281,4.54002,0.0207,0.00492,0.86111,0.08518,0.05588,1.36096,8.14913,0.03241,0.00052258,0.00052258,0.00052258
7,176.201,1.28075,4.20467,0.02066,0.0046,0.80556,0.10769,0.0558,1.42654,8.09253,0.032,0.000599216,0.000599216,0.000599216
8,199.451,1.2655,4.24629,0.02212,0.00476,0.83333,0.06756,0.0307,1.51384,8.10233,0.03497,0.000671892,0.000671892,0.000671892
9,222.473,1.28466,4.05568,0.02264,0.00492,0.86111,0.12931,0.06449,1.43059,7.96374,0.03317,0.000740608,0.000740608,0.000740608
10,246.217,1.33685,4.02848,0.02251,0.00476,0.83333,0.19307,0.08298,1.43978,7.94229,0.03259,0.000805364,0.000805364,0.000805364
11,269.82,1.26689,3.92393,0.02449,0.00444,0.77778,0.11217,0.0488,1.56721,8.00274,0.03801,0.00086616,0.00086616,0.00086616
12,294.66,1.2717,3.70258,0.0222,0.00476,0.83333,0.24783,0.10078,1.56723,7.76976,0.03944,0.000922996,0.000922996,0.000922996
13,318.346,1.36147,3.63056,0.02348,0.00492,0.86111,0.25707,0.12691,1.66432,7.70615,0.0416,0.000975872,0.000975872,0.000975872
14,341.485,1.29498,3.4799,0.02296,0.0046,0.80556,0.25354,0.12037,1.6441,7.6193,0.03937,0.00102479,0.00102479,0.00102479
15,364.437,1.34257,3.39819,0.0233,0.14248,0.47222,0.2513,0.12551,1.68002,7.50917,0.04102,0.00106974,0.00106974,0.00106974
